Symbol,Company Name,Industry,Index,Sector
PGIL.NS,Pearl Global Industries Ltd.,Textiles,['NIFTYTOTALMARKET'],[]
PHOENIXLTD.NS,Phoenix Mills Ltd.,Realty,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_REALTY']
PIDILITIND.NS,Pidilite Industries Ltd.,Chemicals,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']",['NIFTY_CHEMICALS']
PIIND.NS,PI Industries Ltd.,Chemicals,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_CHEMICALS']
PNB.NS,Punjab National Bank,Financial Services,"['NIFTY200', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTYNEXT50', 'NIFTY500']","['NIFTY_PSUBANK', 'NIFTY_BANK']"
PNBHOUSING.NS,PNB Housing Finance Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
PNCINFRA.NS,PNC Infratech Ltd.,Construction,['NIFTYTOTALMARKET'],[]
PNGJL.NS,P N Gadgil Jewellers Ltd.,Consumer Durables,['NIFTYTOTALMARKET'],[]
POLICYBZR.NS,PB Fintech Ltd.,Financial Services,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
POLYCAB.NS,Polycab India Ltd.,Capital Goods,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
POLYMED.NS,Poly Medicure Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
POLYPLEX.NS,Polyplex Corporation Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
POONAWALLA.NS,Poonawalla Fincorp Ltd.,Financial Services,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']",[]
POWERGRID.NS,Power Grid Corporation of India Ltd.,Power,"['NIFTY200', 'NIFTY50', 'NIFTY100', 'NIFTYTOTALMARKET', 'NIFTY500']",[]
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
POWERMECH.NS,Power Mech Projects Ltd.,Construction,['NIFTYTOTALMARKET'],[]
PPLPHARMA.NS,Piramal Pharma Ltd.,Healthcare,"['NIFTY500', 'NIFTYTOTALMARKET', 'NIFTYSMALLCAP100']","['NIFTY_HEALTHCARE', 'NIFTY_PHARMA']"
PRAJIND.NS,Praj Industries Ltd.,Capital Goods,"['NIFTY500', 'NIFTYTOTALMARKET']",[]
PREMIERENE.NS,Premier Energies Ltd.,Capital Goods,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",[]
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,"['NIFTY500', 'NIFTY200', 'NIFTYTOTALMARKET', 'NIFTYMIDCAP150']",['NIFTY_REALTY']
PRICOLLTD.NS,Pricol Ltd.,Automobile and Auto Components,['NIFTYTOTALMARKET'],[]
PRINCEPIPE.NS,Prince Pipes and Fittings Ltd.,Capital Goods,['NIFTYTOTALMARKET'],[]
PRIVISCL.NS,Privi Speciality Chemicals Ltd.,Chemicals,['NIFTYTOTALMARKET'],[]
PRSMJOHNSN.NS,Prism Johnson Ltd.,Construction Materials,['NIFTYTOTALMARKET'],['NIFTY_CEMENT']
PRUDENT.NS,Prudent Corporate Advisory Services Ltd.,Financial Services,['NIFTYTOTALMARKET'],[]
PSB.NS,Punjab & Sind Bank,Financial Services,[],['NIFTY_PSUBANK']
PTC.NS,PTC India Ltd.,Power,['NIFTYTOTALMARKET'],[]
